genes,symbol,HNSC_logFC,HNSC_AveExpr,HNSC_t,HNSC_P.Value,HNSC_adj.P.Val,HNSC_B,HNSC_stdev,KIRP_logFC,KIRP_AveExpr,KIRP_t,KIRP_P.Value,KIRP_adj.P.Val,KIRP_B,KIRP_stdev,LIHC_logFC,LIHC_AveExpr,LIHC_t,LIHC_P.Value,LIHC_adj.P.Val,LIHC_B,LIHC_stdev
ENSG00000144476.6,ACKR3,-2.142301987,6.794859284,-2.266531203,0.024245489,0.15597552,-3.719196066,0.638287702,-1.702747251,4.293234474,-2.339465353,0.022895373,0.911241318,-3.656067146,0.402778787,-0.421291537,3.862925992,-0.878692224,0.380610414,0.537603798,-5.800693699,0.256588723
ENSG00000144485.11,HES6,-0.14082975,3.515280667,-0.187531488,0.851391016,0.90884363,-6.014090647,0.520080651,0.775447757,3.163276856,1.891410967,0.063734624,0.911241318,-4.083133379,0.541669159,0.570717245,3.308604903,1.73400481,0.084440303,0.189706968,-4.729907783,0.2540763
ENSG00000144524.18,COPS7B,-0.214601419,4.067892057,-0.656188747,0.512286205,0.674879101,-5.86878565,0.472435254,-0.055840577,4.030302668,-0.155889004,0.876679924,0.979750193,-4.963159089,0.42485324,-0.181665219,3.385507137,-0.793912491,0.428176439,0.581707673,-5.845538833,0.343433928
ENSG00000144560.15,VGLL4,-1.917385623,3.995544743,-2.772927201,0.005959823,0.097087508,-2.369756352,0.474510172,-0.183806094,3.975238046,-0.297134248,0.767461103,0.962133186,-4.942627356,0.577480471,-1.385865206,2.10866928,-3.012640333,0.002920453,0.022086618,-1.738061344,0.283069216
ENSG00000144566.11,RAB5A,-0.900067924,5.222190503,-2.70021012,0.00738701,0.105687892,-2.688458355,0.452487253,-0.162564129,5.068327489,-0.490015776,0.626033017,0.934913636,-4.933008507,0.586405443,-0.60189475,4.612757327,-3.096081347,0.002238918,0.01931295,-1.690182148,0.298708768
ENSG00000144567.11,RETREG2,-0.607285587,5.792623672,-2.126036474,0.034447926,0.17947574,-4.024157627,0.432090228,0.250757583,6.565855347,0.713109912,0.478732713,0.912182167,-4.873654267,0.81872191,-0.215389359,5.900090819,-1.155469463,0.249260818,0.400306287,-5.582374416,0.25238335
ENSG00000144579.8,CTDSP1,-0.259798736,6.308754583,-0.880600784,0.37935171,0.56401726,-5.830091425,0.693304033,-0.226826645,6.604828946,-0.601483911,0.549939888,0.924883096,-4.915324969,0.401116979,-0.100574303,6.39814869,-0.588880162,0.556598488,0.690745394,-6.051077237,0.261197339
ENSG00000144580.14,CNOT9,-0.332652742,5.430495352,-0.999669776,0.318404963,0.509169598,-5.691605032,0.40999471,-0.67536828,4.135869119,-1.792646149,0.078419862,0.911241318,-4.144910246,0.397389152,-0.360516059,4.164708734,-1.528173198,0.128031239,0.253433871,-5.071628031,0.270879213
ENSG00000144589.22,STK11IP,0.109279793,3.980972973,0.384843636,0.700669629,0.812391576,-6.018048221,0.396297394,-0.021513018,3.657396544,-0.059630159,0.952662041,0.992440111,-4.951631525,0.447816777,0.009116553,2.486915285,0.037744868,0.969928314,0.982223675,-6.019863647,0.274823126
ENSG00000144591.19,GMPPA,0.105900102,4.673077101,0.396866652,0.691793169,0.805833551,-6.070339962,0.429846892,-0.165769972,4.483481035,-0.58097416,0.563583955,0.927169619,-4.892359067,0.37564714,0.290581609,4.952681773,1.593072431,0.112704841,0.232262934,-5.004280134,0.282171621
ENSG00000144597.14,EAF1,-1.173847382,3.715003384,-3.269117581,0.001225164,0.060792372,-1.046021771,0.443132285,-0.457467547,3.542979432,-1.276640857,0.206986715,0.911241318,-4.5349198,0.386295814,-0.658603391,3.464759575,-3.08658706,0.002308298,0.019498493,-1.671311353,0.267037109
ENSG00000144635.9,DYNC1LI1,-0.234598057,4.293411617,-0.872636097,0.383671103,0.567880293,-5.728571294,0.532813752,-0.119404544,3.818135443,-0.420457037,0.675757299,0.945678146,-4.913205447,0.421412203,-0.077310657,3.434822802,-0.375115696,0.707967317,0.810347607,-6.087808708,0.431867591
ENSG00000144647.6,POMGNT2,-0.167367931,3.897489569,-0.306794479,0.759246735,0.850766792,-6.01696443,0.614688861,-0.211837829,4.727706094,-0.536233506,0.593916474,0.931480887,-4.912109532,0.396932629,-0.457184005,3.833742232,-1.679694613,0.094560058,0.205951254,-4.821416109,0.289175187
ENSG00000144655.15,CSRNP1,-1.227216315,4.926162915,-2.311999068,0.021563912,0.150595637,-3.561968475,0.610504885,-0.591651758,4.658057571,-0.929817289,0.356448243,0.911241318,-4.750194509,0.43665596,-0.365537294,4.51154906,-1.187888239,0.236269917,0.386661216,-5.526746892,0.281869981
ENSG00000144659.13,SLC25A38,-0.448501795,4.803768923,-1.19880888,0.231699816,0.42983211,-5.434974697,0.386983596,-0.09875444,5.160718002,-0.366680675,0.715236183,0.953443993,-4.964657638,0.511285155,0.084703329,5.300066074,0.45707659,0.648106326,0.765004871,-6.12399696,0.294863326
ENSG00000144674.16,GOLGA4,-1.623188756,4.673357655,-3.254663199,0.001286631,0.061669397,-1.114870425,0.577147175,-0.494245146,4.283889657,-1.122448169,0.26645139,0.911241318,-4.639083526,0.391040466,-1.209280173,4.229900973,-4.180296966,4.33E-05,0.003187528,1.878509602,0.271232509
ENSG00000144677.15,CTDSPL,-0.181529123,4.625926963,-0.490492006,0.624201766,0.759360647,-6.01112728,0.456274826,-0.012132631,5.442777068,-0.026965653,0.978582794,0.997969011,-5.007503052,0.627677889,-0.383465947,3.947109993,-1.337986549,0.182402537,0.324116616,-5.320083307,0.294460482
ENSG00000144711.16,IQSEC1,-1.505845915,3.965690059,-2.863220859,0.004537321,0.089385216,-2.162956427,0.411041618,-0.644948407,4.144167827,-1.552993826,0.126046477,0.911241318,-4.342898619,0.387198019,-0.427352343,4.8172709,-1.717541422,0.087410222,0.19423722,-4.800079419,0.254657593
ENSG00000144713.13,RPL32,0.410338506,8.812837902,1.054052151,0.29284301,0.48706183,-5.669648405,0.677831217,0.095349946,8.862810494,0.302402928,0.763462927,0.961901469,-4.99754337,1.03725454,0.624968602,8.6745546,2.394124547,0.017572904,0.066667354,-3.411490925,0.330850483
ENSG00000144724.20,PTPRG,-1.331147329,2.491677306,-1.867363422,0.062982299,0.230644903,-4.180220078,0.487375445,-0.35972996,3.499209989,-0.695177588,0.489812626,0.914758923,-4.81370429,0.38785248,-0.899306912,2.532958364,-2.233683829,0.026598524,0.087725863,-3.589073038,0.341865902
ENSG00000144736.14,SHQ1,-0.90914603,3.213017669,-2.225064534,0.026940039,0.162848405,-3.613442635,0.387165714,-0.304703459,2.858380479,-0.935679602,0.353447278,0.911241318,-4.686163411,0.449946061,-0.675576567,2.475514193,-2.592901152,0.010211749,0.046999257,-2.823785608,0.306045369
ENSG00000144741.18,SLC25A26,0.48591845,3.118222226,1.90164047,0.05832968,0.223236328,-4.327940498,0.67820142,0.191177333,3.477720136,0.613252065,0.542187297,0.924883096,-4.849426403,0.607059092,0.065850997,3.231464232,0.406652847,0.684692769,0.792876779,-6.064756852,0.449304476
ENSG00000144744.17,UBA3,-0.781077683,4.653454943,-2.154480574,0.032126415,0.173785031,-3.895623058,0.532514286,-0.081482554,4.529042582,-0.238675147,0.812226928,0.971924153,-4.971479831,0.566957396,-0.880835222,3.709662738,-4.29639709,2.69E-05,0.002554246,2.315869164,0.270386663
ENSG00000144746.7,ARL6IP5,-1.354929121,6.748217173,-2.963803536,0.003322048,0.081026326,-2.034965747,0.419754431,0.063071187,7.721370186,0.150973423,0.880538065,0.980461802,-5.020215701,0.435734102,-0.861926405,5.892826238,-3.637795102,0.000348975,0.007868832,-0.038073028,0.279037326
ENSG00000144747.17,TMF1,-1.209097339,3.458258025,-2.700725032,0.007375903,0.105634748,-2.552377252,0.444548578,-0.515511327,3.440691835,-1.105657545,0.273592342,0.911241318,-4.629855961,0.386234792,-1.013989924,2.668735235,-3.440185848,0.000705974,0.010982514,-0.55531805,0.537111163
ENSG00000144749.14,LRIG1,-1.410228573,3.454847754,-1.528560484,0.127595849,0.321185645,-4.782021996,0.386954901,-0.73218573,3.320343678,-1.493217735,0.140981524,0.911241318,-4.396673044,0.431731586,-0.671985667,3.614620161,-2.068230011,0.039889939,0.115338439,-4.110202798,0.2709271
ENSG00000144802.11,NFKBIZ,-1.863718848,4.296714839,-2.119146319,0.035031496,0.180635561,-3.845904139,0.391682932,-0.105998385,3.937155251,-0.11682868,0.907412922,0.986116436,-4.95654016,0.735291561,-0.955575675,2.845056851,-2.217604635,0.027694375,0.090012757,-3.668035808,0.331518722
ENSG00000144824.21,PHLDB2,-0.176349486,4.129774929,-0.230766189,0.817678939,0.888135617,-6.054590362,0.708336069,-0.252140236,3.974844248,-0.395493786,0.693977985,0.947629513,-4.923627145,0.408641719,-0.955415505,2.604437411,-2.63885657,0.008966078,0.043092661,-2.707005993,0.252977298
ENSG00000144827.9,ABHD10,-0.343551071,4.586780161,-0.881188691,0.379034074,0.563654078,-5.739611319,0.597663557,-0.416417915,5.464787338,-1.199713282,0.235291317,0.911241318,-4.603086909,0.435589706,-0.183709323,4.774417887,-1.119525149,0.26424332,0.416004686,-5.612892041,0.2603651
ENSG00000144837.9,PLA1A,-1.2195631,1.26109164,-1.544637821,0.123656911,0.315861078,-4.615239432,0.478520381,-0.180736649,5.452134452,-0.185282678,0.853675356,0.9781334,-4.996687588,0.546978685,-0.755030675,4.943324359,-1.54462751,0.123998905,0.247555116,-5.065874494,0.260389292
ENSG00000144840.10,RABL3,-0.316970962,3.748826353,-0.929823771,0.353329613,0.541842598,-5.62521895,0.399802167,-0.234718348,3.483847849,-0.573967696,0.568283099,0.928206492,-4.855502407,0.387301342,-0.702954821,3.083751587,-3.646507011,0.000338068,0.007795782,0.057278622,0.43287337
ENSG00000144848.11,ATG3,-0.163428379,4.931783856,-0.547016712,0.584839045,0.730858553,-6.003866325,0.560468368,-0.12234708,4.239754249,-0.347443985,0.729557525,0.954543014,-4.944557014,0.386116323,-0.534994796,3.948688468,-2.743992869,0.006615161,0.035654923,-2.619172352,0.256645729
ENSG00000144867.13,SRPRB,0.2214663,5.956094581,0.703865504,0.482149924,0.650857922,-5.963842115,0.669478921,0.004340948,5.55731824,0.014516044,0.988469764,0.998247006,-5.00922441,0.439359795,0.390334047,5.768342123,2.131495783,0.034254587,0.103765792,-4.053909317,0.257106682
ENSG00000144895.12,EIF2A,-0.451148967,5.791639191,-1.324697941,0.186440953,0.386046582,-5.3398572,0.418709146,-0.408983987,5.220128974,-1.224585836,0.22584704,0.911241318,-4.585052334,0.421547518,-0.409818333,4.963945861,-1.997322018,0.047129887,0.128561136,-4.31017832,0.255778037
ENSG00000144908.14,ALDH1L1,-0.634686128,0.407683191,-0.719142022,0.472702855,0.642451094,-5.418602594,0.460841442,-0.302444517,3.959358455,-0.286014506,0.775920169,0.964129993,-4.94059419,0.420291984,-0.365282239,5.807390836,-0.547055197,0.584943629,0.714585643,-6.069761955,0.329138116
ENSG00000144909.8,OSBPL11,-1.046181247,4.420786801,-2.225532345,0.026908246,0.162830684,-3.717740766,0.599448597,-0.218205351,4.430583747,-0.487814744,0.627581523,0.935286652,-4.917759044,0.458861328,-1.05098873,3.497164542,-3.38513057,0.000854477,0.0120815,-0.772581944,0.277734144
ENSG00000144959.11,NCEH1,-2.340150433,4.18922714,-2.571642599,0.010681233,0.117258885,-2.834640236,0.63900464,-0.118538,5.407978954,-0.189502399,0.850382823,0.977903451,-4.996402415,0.934589269,-1.095252612,2.025147589,-2.131982404,0.034214045,0.103699155,-3.702795508,0.634471236
ENSG00000145012.13,LPP,-1.104268637,3.678426989,-1.81764069,0.070276397,0.243049091,-4.399246828,0.397804408,-0.821080649,3.869769487,-1.799363935,0.077338302,0.911241318,-4.14962049,0.388540365,-1.222706047,2.779220955,-3.601844508,0.00039759,0.008405765,-0.059596248,0.383546145
ENSG00000145022.4,TCTA,-1.38151546,4.306310779,-3.394396386,0.000795848,0.051817802,-0.687107325,0.450168451,0.300250324,5.995069247,0.819694869,0.415857911,0.911241318,-4.822437522,0.525793072,-0.440457384,5.516423573,-1.744732799,0.082549666,0.186776343,-4.764825951,0.255500141
ENSG00000145041.15,DCAF1,-1.295047047,3.940789902,-2.672681096,0.008003233,0.108969542,-2.653030563,0.597512987,-0.344685593,3.738274351,-0.899486796,0.372236981,0.911241318,-4.743977293,0.403091771,-0.814717267,3.325403174,-3.215824151,0.001514296,0.01597725,-1.278847317,0.257351781
ENSG00000145050.19,MANF,-0.276416941,6.501631667,-0.865295023,0.387679006,0.571353198,-5.846045629,0.679510786,-0.340632671,5.8625366,-1.084105926,0.282953514,0.911241318,-4.678616682,0.400725141,0.210178395,6.788654343,0.734079931,0.463749787,0.613506348,-5.945217816,0.290700911
ENSG00000145191.15,EIF2B5,-0.227005687,5.044479899,-0.625090823,0.532462717,0.690897211,-5.963017557,0.438301205,-0.262838381,4.343099838,-0.91750014,0.362807039,0.911241318,-4.752200003,0.696451473,0.008601563,4.080802697,0.050225145,0.959992518,0.976440205,-6.193970514,0.265952219
ENSG00000145214.14,DGKQ,-0.544760714,4.268659218,-1.426081693,0.155050991,0.352841858,-5.106594846,0.478566107,-0.159788008,3.866901001,-0.440692246,0.661128814,0.94291149,-4.910265768,0.435347954,-0.526732203,3.374338394,-1.963268292,0.050985105,0.134803171,-4.297335969,0.318300979
ENSG00000145220.14,LYAR,1.024667652,5.147858629,2.716058921,0.007051981,0.104143341,-2.694816074,0.682552921,-0.488221914,3.548265309,-1.266937959,0.210410289,0.911241318,-4.540769891,0.411451501,-0.0131416,3.707830299,-0.052840649,0.957911004,0.975154988,-6.17373326,0.319435626
ENSG00000145247.12,OCIAD2,-0.088684773,6.384741222,-0.189960059,0.849489475,0.907736806,-6.188651272,0.726497755,0.52893292,7.547318429,1.008816629,0.317392641,0.911241318,-4.731075103,0.470007753,-0.202609898,5.735221443,-0.474609628,0.635577057,0.754595946,-6.11619685,0.26714205
ENSG00000145293.16,ENOPH1,-0.215593629,5.944273684,-0.587100587,0.557648446,0.709692399,-6.029668472,0.670749072,-0.36174931,5.695835963,-1.158184611,0.251693956,0.911241318,-4.631461011,0.828962989,-0.640974901,4.876367872,-2.578371066,0.01063672,0.04831888,-3.056005368,0.368398761
ENSG00000145332.14,KLHL8,-0.423290085,3.038228806,-0.99229149,0.321983052,0.512438279,-5.47036434,0.387548316,-0.499432973,3.130197268,-1.003006966,0.320162841,0.911241318,-4.667219954,0.392038257,-0.859539897,2.393157355,-2.916796124,0.003935783,0.026326434,-2.008077907,0.253063162
ENSG00000145349.17,CAMK2D,-0.714216739,4.67412526,-1.506499288,0.133159775,0.328176591,-5.019802559,0.420783852,-0.01348064,4.096055594,-0.030639726,0.97566557,0.997969011,-4.972539439,0.490920071,-0.762682584,3.475877333,-2.870054176,0.004540072,0.028477942,-2.255493043,0.253365494
