genes,symbol,HNSC_logFC,HNSC_AveExpr,HNSC_t,HNSC_P.Value,HNSC_adj.P.Val,HNSC_B,HNSC_stdev,KIRP_logFC,KIRP_AveExpr,KIRP_t,KIRP_P.Value,KIRP_adj.P.Val,KIRP_B,KIRP_stdev,LIHC_logFC,LIHC_AveExpr,LIHC_t,LIHC_P.Value,LIHC_adj.P.Val,LIHC_B,LIHC_stdev
ENSG00000000003.15,TSPAN6,-0.68076602,4.711517214,-1.243421224,0.214838886,0.414205059,-5.365597832,0.561587652,-0.174448755,5.320824003,-0.420056327,0.676048279,0.945678146,-4.954804455,0.694427834,-0.137108702,5.971086803,-0.5200394,0.603604594,0.729649134,-6.0936234,0.376820689
ENSG00000000419.13,DPM1,-0.446615917,6.651795432,-1.364818714,0.173496523,0.371970722,-5.312182318,0.620749135,-0.190915086,5.894775179,-0.5951528,0.554133764,0.925433483,-4.911054667,0.387374275,-0.39469001,5.8899134,-1.810675631,0.071674352,0.168901381,-4.653874075,0.259726088
ENSG00000000938.13,FGR,-1.191203642,3.037761985,-1.489618184,0.137543426,0.333779577,-4.801491992,0.486973189,-0.54999023,3.582109472,-0.771339367,0.443741571,0.911241318,-4.787942773,0.475487346,-0.641791912,1.835305231,-1.763028633,0.079405162,0.181472369,-4.346794797,0.283333478
ENSG00000000971.16,CFH,-1.477842674,4.626523765,-1.839710996,0.06695698,0.236928734,-4.427150016,0.409175143,-0.896973894,3.280512677,-0.777050561,0.440392209,0.911241318,-4.750958682,0.389268169,-0.82626114,8.520211404,-2.336069183,0.02046643,0.073885264,-3.572142254,0.610895702
ENSG00000001036.14,FUCA2,-0.557923488,5.319496815,-1.67957641,0.094247629,0.280417588,-4.806125366,0.399774933,0.142255885,6.364225408,0.473154113,0.63793854,0.938548511,-4.953866896,0.379114282,-0.076235545,5.763254269,-0.277866646,0.781398438,0.861765125,-6.187783746,0.41609848
ENSG00000001084.13,GCLC,0.580868021,4.529009583,0.87660991,0.38151226,0.566085711,-5.786343275,0.667632613,-0.795219233,3.838570348,-1.504552354,0.138046926,0.911241318,-4.382060628,0.864240626,-0.736419295,4.819574273,-2.506518841,0.012979928,0.05488375,-3.224007309,0.25253802
ENSG00000001167.14,NFYA,-0.873474092,4.658412427,-2.157344551,0.031900318,0.173154107,-3.885066825,0.539004898,-0.632392161,4.257598266,-1.322289391,0.191435895,0.911241318,-4.511313945,0.45186617,-0.751379747,3.722432871,-2.321003756,0.021282577,0.075817102,-3.594350735,0.253740931
ENSG00000001497.18,LAS1L,-0.074012325,3.79057964,-0.251874776,0.801337943,0.877770091,-6.027177263,0.387294859,-0.175344235,3.352137308,-0.630072188,0.53120459,0.924860547,-4.832321924,0.594793226,0.098324155,3.339622081,0.47296633,0.636746993,0.755230649,-6.045938544,0.477528253
ENSG00000001561.7,ENPP4,-1.115292742,1.571859682,-1.29801395,0.195439221,0.394472491,-4.942692682,0.585165782,-0.801174364,4.259935662,-1.527853577,0.13216609,0.911241318,-4.36210664,0.435552983,-0.835017945,2.986787306,-1.751580834,0.081360988,0.184909833,-4.566114818,0.263038837
ENSG00000001617.12,SEMA3F,-0.463026197,6.068942457,-1.117260074,0.264920227,0.462481732,-5.593727704,0.39093087,-0.057130466,4.140985219,-0.069138603,0.945125065,0.990924057,-4.972232353,0.546807071,-0.455612521,3.499757092,-1.851030854,0.065622555,0.159548402,-4.514052413,0.409854872
ENSG00000001629.10,ANKIB1,-1.160387939,4.581767365,-2.064870861,0.03993226,0.189987845,-4.044240743,0.396014752,-0.046407546,4.878329771,-0.106863852,0.915278106,0.986116436,-4.993809862,0.944766806,-0.797033889,3.003770596,-2.508808517,0.012898679,0.054705662,-3.086455093,0.538867766
ENSG00000002330.14,BAD,0.293331802,4.251680325,0.75777902,0.449273357,0.622757427,-5.849863299,0.694120231,0.180273345,4.440137567,0.61786188,0.539165782,0.924860547,-4.881567078,0.82973644,0.41967384,3.927221185,1.846613694,0.066263571,0.16061807,-4.566813096,0.38473316
ENSG00000002549.12,LAP3,-0.686084355,6.695379957,-1.319977379,0.188009979,0.387376328,-5.365922934,0.426102056,-0.556729443,5.872593862,-1.260534913,0.212692477,0.911241318,-4.563464236,0.596844637,-0.921098608,6.364879115,-3.076568872,0.002383654,0.019861032,-1.75740457,0.297601437
ENSG00000002586.20,CD99,-1.220824705,7.199925223,-2.683637777,0.007752631,0.107372678,-2.783732597,0.683563573,-0.618795435,6.11453094,-1.61939967,0.110968122,0.911241318,-4.281365857,0.447376152,-0.693489856,6.804681414,-3.232902442,0.001430827,0.015499417,-1.299405261,0.370347081
ENSG00000002726.21,AOC1,0.294132792,1.692435091,0.406495763,0.684714621,0.800770596,-5.7187585,0.484890067,1.940594604,4.44969759,1.181795699,0.242270463,0.911241318,-4.607518938,0.592588439,-0.024924218,0.320174451,-0.04712316,0.962461545,0.978077688,-5.487247517,0.278912888
ENSG00000002834.18,LASP1,-1.599472766,6.591721384,-4.032167942,7.28E-05,0.017733048,1.393679547,0.472787117,-0.168341832,6.759270759,-0.466108191,0.642942251,0.939915907,-4.958107124,0.765153519,-0.76575415,6.162632994,-2.417368201,0.016519725,0.064240822,-3.440921859,0.254496261
ENSG00000002919.15,SNX11,-0.156587254,4.585280179,-0.69313183,0.488848951,0.656171109,-5.893836898,0.705401421,0.081269562,4.359684217,0.240163029,0.811079009,0.971924153,-4.967373621,0.59285179,0.026260466,3.789430156,0.131853121,0.895231482,0.936776656,-6.171930601,0.331265755
ENSG00000002933.9,TMEM176A,-1.2908727,3.965697767,-1.51370612,0.131321776,0.326044661,-4.879047911,0.493943608,1.036978359,7.754119974,1.055004698,0.295944146,0.911241318,-4.703539453,0.646427599,0.123842458,9.009213312,0.300638127,0.763999126,0.850205595,-6.066473217,0.597278715
ENSG00000003056.8,M6PR,-1.748515267,5.882563566,-2.907314805,0.003961811,0.085215069,-2.144726574,0.473833457,-0.65809013,5.637610226,-1.265979406,0.210750776,0.911241318,-4.558573614,0.460165914,-1.707190533,4.143735182,-4.142963385,5.04E-05,0.003372648,1.754390288,0.289639532
ENSG00000003147.19,ICA1,-0.844175994,1.551972082,-1.048068795,0.295585605,0.489700098,-5.207533885,0.670652949,0.542388485,3.274912203,0.860017757,0.393438469,0.911241318,-4.751566407,0.38915127,0.148744956,2.419621658,0.319185287,0.749915283,0.840217644,-5.97858722,0.253084429
ENSG00000003249.15,DBNDD1,-0.882941294,2.861328292,-0.965672214,0.335110557,0.524797067,-5.408245505,0.398299721,0.639128535,4.68504515,1.313429592,0.194383021,0.911241318,-4.522214462,0.528259318,-0.400496084,3.925088935,-0.88476174,0.377335283,0.53409616,-5.793708312,0.356904767
ENSG00000003393.15,ALS2,-0.503150187,2.953937609,-1.213756452,0.225948264,0.424108652,-5.22061161,0.701721516,-0.66799492,3.161756925,-1.603899318,0.114350102,0.911241318,-4.32749425,0.592599601,-0.767529471,2.930941254,-2.984625773,0.003189017,0.023280654,-1.890374558,0.253458435
ENSG00000003400.15,CASP10,-0.490675988,3.05685065,-0.955649529,0.340141956,0.52954623,-5.491501489,0.397828506,-0.821194277,2.912347997,-1.951938651,0.05594206,0.911241318,-4.114473969,0.409180807,-0.426190606,2.280989895,-1.578469857,0.116019725,0.237214735,-4.737204188,0.30490317
ENSG00000003402.20,CFLAR,-0.851985588,3.711540554,-2.141730732,0.033149791,0.176500236,-3.836395544,0.463246273,-0.607439826,4.197596322,-1.395021265,0.16850635,0.911241318,-4.460458995,0.419787382,-0.514696699,2.999544301,-2.423323871,0.016259025,0.063536316,-3.311153401,0.298877504
ENSG00000003436.16,TFPI,-0.994349464,2.020922446,-1.47440089,0.141590193,0.338249161,-4.751638341,0.383363299,0.239822945,4.139651616,0.240421424,0.810879696,0.971924153,-4.959846547,0.384934549,-0.086104814,5.710672764,-0.238906692,0.811419732,0.88123114,-6.198251464,0.390541843
ENSG00000003509.16,NDUFAF7,-0.407032353,3.103011099,-1.281242745,0.201256308,0.400739203,-5.171151667,0.400279265,-0.168353156,3.67676464,-0.526853132,0.600372057,0.932967715,-4.879498954,0.405895362,-0.241622707,3.095869364,-1.569618877,0.118066235,0.239690102,-4.942717866,0.321397723
ENSG00000003756.17,RBM5,-0.80394748,3.477279945,-2.284887575,0.023129742,0.153297773,-3.527899042,0.452950541,-0.22770085,3.738359621,-0.470326798,0.63994436,0.939649241,-4.896434161,0.3957223,-0.564532272,3.104296733,-2.659820004,0.008444655,0.041496053,-2.766213914,0.259531163
ENSG00000003989.18,SLC7A2,-0.739954647,2.242846936,-0.643921227,0.520197279,0.680907409,-5.569424075,0.724364601,-0.278525591,2.422201852,-0.39723844,0.692698486,0.947402653,-4.791890174,1.094400918,-0.937995184,5.195921077,-1.786847023,0.075459206,0.175017785,-4.683820718,0.461754485
ENSG00000004059.11,ARF5,0.476553119,7.459444128,1.762324517,0.079196017,0.258273461,-4.728382786,0.551876236,0.316538433,7.145190688,1.067714198,0.290221082,0.911241318,-4.69543488,0.457565637,0.048200027,6.614507434,0.243032338,0.808226535,0.878903278,-6.183748329,0.583977284
ENSG00000004142.12,POLDIP2,-0.001631976,7.262004912,-0.006876076,0.99451903,0.996854496,-6.217456078,0.650096944,0.218878696,7.628302707,0.770231929,0.44439276,0.911241318,-4.853515214,0.386394337,-0.09898442,7.819838594,-0.606852496,0.544629114,0.681334677,-5.998009989,0.453088295
ENSG00000004399.13,PLXND1,-1.186414819,4.72586448,-1.927398602,0.055025452,0.217519178,-4.308120435,0.638171978,-0.804263562,4.486195452,-1.239579912,0.220289591,0.911241318,-4.567678657,0.433273609,-0.586664976,4.290075743,-1.860266395,0.064298931,0.157353663,-4.537206326,0.264808411
ENSG00000004455.17,AK2,-0.003017945,5.540941182,-0.010352188,0.99174828,0.99505087,-6.185702466,0.685779617,-0.102292268,5.21939935,-0.327891493,0.744213905,0.958334379,-4.973381006,0.421668082,-0.323846193,4.95810941,-1.720907838,0.086796127,0.193372089,-4.798764066,0.374892921
ENSG00000004478.8,FKBP4,0.190049554,6.682970567,0.440265545,0.660112613,0.783992148,-6.120613506,0.654249721,-0.230900726,5.485057709,-0.574473044,0.567943526,0.928206492,-4.913515382,0.483504201,-0.194223583,5.500894648,-0.763403169,0.446112149,0.597706073,-5.943839758,0.278363313
ENSG00000004487.17,KDM1A,0.21225185,6.171400762,0.709937526,0.478382643,0.647309973,-5.964770908,0.648657576,0.117286947,4.903283305,0.303833366,0.762378541,0.961717503,-4.972696236,0.43154695,-0.278398328,4.211884835,-1.127715508,0.260775516,0.412412317,-5.583581556,0.255437338
ENSG00000004534.15,RBM6,-0.474111375,4.245916031,-1.216343814,0.224963192,0.423521735,-5.369712902,0.384297342,-0.375183657,4.483121461,-0.751202167,0.455669691,0.911241318,-4.829189493,0.39455581,-0.221546218,3.983537855,-1.059833445,0.290483837,0.44576931,-5.645377079,0.254720997
ENSG00000004700.16,RECQL,-1.648049809,4.494298112,-2.281599324,0.02332625,0.153673866,-3.563060044,0.398239939,-0.663866095,3.735007626,-1.153367399,0.253648396,0.911241318,-4.609345206,0.394991411,-1.678949106,2.513497504,-3.053462078,0.002566191,0.020618016,-1.633233581,0.263846672
ENSG00000004776.13,HSPB6,-0.604756629,1.333171148,-0.534790567,0.593254273,0.737350375,-5.577770764,0.396546386,-1.531081674,1.041421254,-1.686106429,0.097328031,0.911241318,-4.44743182,0.376935157,0.620934545,1.575685194,1.2658385,0.207026418,0.352954796,-5.114130467,0.256187481
ENSG00000004779.10,NDUFAB1,0.774111817,6.667596751,2.663979317,0.008207433,0.11021339,-2.841438638,0.590914008,0.541629733,6.689523101,1.737874496,0.087717954,0.911241318,-4.171835084,0.408923611,0.335402225,6.596345809,1.778399958,0.076839755,0.177410367,-4.695386892,0.279265773
ENSG00000004799.8,PDK4,-1.608262426,1.915281974,-1.467161265,0.14354746,0.340369544,-4.740145021,0.389182411,-1.466531971,4.947378104,-1.530363373,0.131544728,0.911241318,-4.358900158,0.422207183,-0.491648973,5.668863169,-0.830704151,0.407119881,0.562404737,-5.891863634,0.26239625
ENSG00000004864.14,SLC25A13,-0.897411675,4.792877511,-2.166463102,0.031189569,0.171632926,-3.875433445,0.702190066,-0.001215302,5.043633481,-0.003070041,0.997561353,0.999336632,-5.001077762,1.026433361,-0.203000955,6.366440993,-0.762528316,0.446632733,0.598220418,-5.939531459,0.373822062
ENSG00000004866.22,ST7,-0.355929519,3.177776555,-1.345831649,0.179535694,0.379313279,-5.105865472,0.463737972,-0.393842777,3.783082162,-1.163733938,0.249455879,0.911241318,-4.606957698,0.433570351,0.1431994,3.671377339,0.716285747,0.474640788,0.622027487,-5.929595023,0.445785788
ENSG00000004897.12,CDC27,-0.422213066,5.002353633,-1.265813909,0.206719074,0.406195051,-5.375427143,0.487695491,-0.407035537,4.352785941,-1.175080987,0.244924089,0.911241318,-4.60865873,0.454307226,-0.695681306,3.963344908,-2.919832317,0.003899199,0.026222874,-2.155851388,0.281992319
ENSG00000004961.15,HCCS,-0.302152868,5.364489988,-1.016429015,0.310375284,0.503067383,-5.672678782,0.4383542,-0.056234494,4.900347637,-0.150095387,0.881227526,0.980461802,-4.991098318,0.419870561,-0.153298595,4.541684692,-0.731304481,0.465439229,0.614795362,-5.952213845,0.309184639
ENSG00000004975.12,DVL2,-0.890248875,4.655919994,-2.195297953,0.029031254,0.166405033,-3.806279453,0.469090759,0.141902547,4.262143223,0.378394612,0.706565159,0.95043895,-4.941349825,0.407635531,-0.307822207,3.297139157,-1.020870173,0.30853495,0.464172032,-5.63426597,0.253559702
ENSG00000005007.13,UPF1,-0.605814839,5.816363462,-1.786608846,0.075172259,0.251420658,-4.652886692,0.658925899,-0.328417495,5.185347019,-1.044330812,0.300810137,0.911241318,-4.697074829,0.427976994,-0.499141517,4.987753465,-2.128368939,0.034516082,0.104275491,-4.053945641,0.309139018
ENSG00000005020.13,SKAP2,-1.134697954,4.255858661,-2.346367424,0.019712914,0.146643992,-3.440370183,0.526680201,0.020849932,5.467977326,0.044786013,0.964436859,0.994967868,-5.007574535,0.97067295,-0.483249394,3.090536773,-1.148503257,0.252116773,0.403264559,-5.460563749,0.441029099
ENSG00000005022.6,SLC25A5,0.432290303,9.537199965,1.282326321,0.200876673,0.400450307,-5.402211897,0.382441743,0.402777707,8.841761183,0.847554832,0.400286281,0.911241318,-4.815213632,0.384726028,-0.207160399,8.841567127,-0.811013852,0.418310622,0.572279633,-5.811742057,0.270404792
ENSG00000005059.16,MCUB,-0.454087751,4.644137972,-1.098567192,0.272978794,0.470403965,-5.532186679,0.434476714,0.554802855,3.05933132,0.850974133,0.398400245,0.911241318,-4.740667306,0.465077212,-0.521579545,1.374535865,-1.183894277,0.237843818,0.38862725,-5.041466898,0.260447272
ENSG00000005075.15,POLR2J,0.382222395,6.253550446,1.083431473,0.279626226,0.476515092,-5.645679536,0.647832374,0.600016269,6.434983752,2.026798487,0.04744428,0.911241318,-3.882117247,0.389037905,0.836299439,6.363803234,3.913184394,0.000124383,0.005152228,0.904013935,0.265277429
ENSG00000005100.13,DHX33,-0.503826652,4.108975724,-1.145885412,0.252901986,0.450927352,-5.43474166,0.391302465,-0.204076074,3.511487972,-0.500915218,0.618389911,0.933725874,-4.877267101,0.438117243,-0.241142817,2.843019785,-1.060403066,0.290225361,0.445556683,-5.535207977,0.28233631
ENSG00000005175.10,RPAP3,-0.408830147,4.213829603,-1.333900116,0.183410336,0.383648682,-5.229507451,0.413392095,-0.29950792,3.469804902,-0.820241211,0.415549058,0.911241318,-4.768148159,0.378356562,-0.415933446,3.199350797,-1.970092458,0.050191908,0.133516577,-4.273436227,0.496246659
ENSG00000005194.15,CIAPIN1,0.017559824,5.715378287,0.062185055,0.950463506,0.969453849,-6.190597623,0.722610474,0.448262442,5.831381695,1.372522541,0.175361607,0.911241318,-4.482824187,0.548915643,-0.122245412,4.635928207,-0.577342181,0.564350153,0.697347488,-6.052453849,0.321266965
ENSG00000005206.17,SPPL2B,-0.65807949,3.608659467,-1.576822702,0.116058997,0.306491755,-4.818241976,0.384646688,-0.042876953,4.272892639,-0.115211011,0.908689127,0.986116436,-4.975635622,0.588348421,0.219936417,3.507109369,1.056628871,0.291940882,0.447163049,-5.634146954,0.26863267
ENSG00000005238.20,FAM214B,-0.278882777,4.255337718,-0.603635193,0.546615401,0.701668849,-5.913691347,0.527583812,-0.073496151,3.855136124,-0.180791019,0.857182951,0.978597129,-4.953112959,0.526335404,-0.493901658,2.36808233,-2.102153603,0.036776817,0.10887028,-3.866171929,0.396864008
ENSG00000005243.10,COPZ2,0.225584311,5.463711534,0.391727184,0.695582457,0.808654743,-6.111801996,0.647505071,0.484115117,4.146054447,0.741016716,0.461772865,0.911241318,-4.83015911,0.37608164,0.383235501,4.768925855,1.23449896,0.218448763,0.365847704,-5.486224914,0.252836981
ENSG00000005339.15,CREBBP,-1.481390789,4.535221308,-2.723396638,0.006901567,0.103030043,-2.560684447,0.427737691,-0.618438496,4.024444031,-1.515710473,0.135205454,0.911241318,-4.372155248,0.614988727,-0.724677471,3.339943684,-2.581425587,0.010546089,0.048041925,-2.96811326,0.262494103
ENSG00000005436.14,GCFC2,0.210416701,2.933156574,0.623329012,0.533617785,0.691697125,-5.797714208,0.695246376,-0.697536267,2.858607816,-1.681167965,0.098288328,0.911241318,-4.294954672,0.487240787,-0.413576842,2.881713571,-1.999655322,0.046875027,0.128178557,-4.173304275,0.353483709
ENSG00000005448.17,WDR54,-0.316133382,4.396500845,-0.627579057,0.530833569,0.689675203,-5.906984816,0.476460907,0.666291759,4.421878023,1.237263905,0.221141364,0.911241318,-4.572488624,0.511919476,0.43005283,1.812199448,1.337813522,0.182458853,0.32416518,-5.061798641,0.291794131
ENSG00000005469.12,CROT,-1.222012995,3.993654369,-2.132878963,0.03387668,0.17827023,-3.855828869,0.707646614,-0.197400451,3.816347211,-0.429828055,0.668966714,0.944031023,-4.909778338,0.45273471,-0.633075086,4.029928902,-1.943699685,0.053318493,0.138677681,-4.373722104,0.38614924
ENSG00000005483.21,KMT2E,-1.288931143,4.265982185,-2.219429016,0.02732561,0.163404474,-3.700376188,0.631152594,-0.610343799,4.049546158,-1.235936115,0.221630786,0.911241318,-4.565782101,0.422655105,-0.954570144,2.971309429,-2.818578073,0.005302635,0.031131062,-2.311297165,0.286810144
ENSG00000005486.17,RHBDD2,-0.32585777,6.899480585,-0.928718982,0.353900922,0.542112669,-5.796188043,0.389379676,0.614228994,7.362242324,1.70852144,0.093065728,0.911241318,-4.19847129,0.466455824,0.556055989,6.616978835,2.631718923,0.009150116,0.043658232,-2.922447788,0.30645368
ENSG00000005700.15,IBTK,-0.402591457,4.096352838,-1.097228188,0.273562449,0.470948797,-5.491558026,0.584129311,-0.251925999,4.384125003,-0.646979716,0.520282735,0.92437326,-4.866945147,0.693143704,-0.776212434,4.428499488,-3.236150763,0.001415443,0.015391308,-1.275627644,0.276257804
ENSG00000005812.11,FBXL3,-0.615182697,4.034345945,-1.655707656,0.098994163,0.286161268,-4.751012237,0.381263862,-0.415151469,3.684508689,-0.960494788,0.340926498,0.911241318,-4.712702789,0.443227499,-1.018763995,2.984389637,-3.964624652,0.000101936,0.004560219,1.13237311,0.63043664
ENSG00000005844.19,ITGAL,-1.240260568,2.263014959,-1.331798977,0.184099064,0.384095888,-4.933755054,0.39026716,-1.423648104,2.426143904,-1.805626789,0.076341254,0.911241318,-4.301272089,0.395351087,0.019159092,2.77632683,0.053620163,0.957290694,0.974898845,-6.084443953,0.343248465
ENSG00000005882.12,PDK2,-1.841945772,3.392037989,-3.626036731,0.000346603,0.034662756,0.045057595,0.382778735,-0.006500957,4.561035207,-0.013733844,0.989091032,0.998247006,-4.98874299,0.394970779,-0.86076599,3.786572769,-2.788135247,0.005806727,0.032948979,-2.488224587,0.252750833
ENSG00000005884.18,ITGA3,-0.830424196,7.090396458,-1.06030141,0.289996935,0.485156428,-5.668745966,0.615236661,0.630935203,7.330200536,0.912864923,0.365218769,0.911241318,-4.783124249,0.385581719,-0.738630317,1.648552699,-1.261404821,0.20861531,0.354377508,-4.981368391,0.262304664
ENSG00000005889.16,ZFX,-0.801866745,3.214776361,-1.673187047,0.095499861,0.28216185,-4.609561863,0.381858497,-0.40785887,2.682196321,-0.92141063,0.360780369,0.911241318,-4.677880767,0.398568881,-0.98614318,2.523991108,-2.922044783,0.003872736,0.026096715,-1.996272217,0.273662489
ENSG00000005893.16,LAMP2,-1.036934185,6.430271625,-2.733088803,0.006707335,0.101626982,-2.647166161,0.449442966,-0.558873904,6.372023278,-1.126389513,0.264794415,0.911241318,-4.654796337,0.414428667,-1.039554909,6.686953547,-3.779115716,0.000207009,0.006308425,0.436987298,0.269592275
ENSG00000006007.12,GDE1,-0.940967069,5.473269454,-3.031648398,0.002679319,0.076681398,-1.818314331,0.476801739,0.056899827,5.502025031,0.174974259,0.861729632,0.979216534,-4.999981199,0.81125313,-0.594407232,4.104046062,-2.405882984,0.017032935,0.0654177,-3.434192568,0.373664725
ENSG00000006015.18,REX1BD,0.643781579,4.245017972,1.397988477,0.163314625,0.36142095,-5.207518225,0.390594858,0.16070398,4.440042211,0.525262611,0.601469878,0.932967715,-4.910424268,0.437092929,0.720330121,4.774182399,2.862069547,0.00465139,0.02891311,-2.345448038,0.51935696
ENSG00000006042.12,TMEM98,-0.448114894,3.512841414,-0.56952824,0.569492165,0.719225496,-5.824740031,0.706840728,0.752534293,5.319146604,1.067799737,0.290182825,0.911241318,-4.686469886,0.376368923,-1.004598527,4.188324012,-1.769533084,0.07831116,0.17991619,-4.674848487,0.252950232
ENSG00000006062.17,MAP3K14,-0.857220426,3.304824617,-1.321764668,0.187414769,0.38696793,-5.105743077,0.693536593,-0.636867983,3.602567399,-1.178844171,0.243434325,0.911241318,-4.591392926,0.410599756,-0.835118163,3.068762563,-2.099730012,0.036992097,0.109276178,-3.960928082,0.297980223
ENSG00000006118.15,TMEM132A,-0.955464817,5.671013283,-1.765919851,0.078589411,0.257086757,-4.663808001,0.435712972,0.632760825,3.713522012,0.850232593,0.3988088,0.911241318,-4.772438018,0.529356634,-0.021651543,1.444084829,-0.047315483,0.962308455,0.978077688,-5.728564647,0.267268928
ENSG00000006125.18,AP2B1,-1.035422011,6.207411918,-2.189922145,0.029423545,0.16726681,-3.896208854,0.598437633,0.001768235,6.99876343,0.005046664,0.99599126,0.999336632,-5.024168956,0.422045032,-0.333186303,5.102343941,-1.297561051,0.195915542,0.340235935,-5.410765659,0.253560123
ENSG00000006194.10,ZNF263,-0.181889927,3.893908293,-0.656810228,0.511887111,0.674656668,-5.854311821,0.449842275,-0.152855227,3.844866858,-0.507736589,0.613627914,0.933050631,-4.892758056,0.391646121,-0.193088984,3.311796428,-1.047520112,0.296109398,0.451306556,-5.615916483,0.26191832
ENSG00000006210.7,CX3CL1,-0.326915074,4.54045179,-0.319271039,0.749778783,0.844955627,-6.048798568,0.636805236,0.253282401,6.231117382,0.521551638,0.604034904,0.933050631,-4.938943725,0.375861799,-0.413781888,3.72971219,-1.173464955,0.241988831,0.393086868,-5.50180355,0.370634062
ENSG00000006282.21,SPATA20,-2.139809028,4.445067376,-3.568424809,0.000427931,0.037604678,-0.130504031,0.671685042,-0.095773507,6.366645011,-0.280235949,0.780326938,0.965260298,-4.995337779,0.468144422,-0.102646068,4.724854375,-0.412313156,0.6805464,0.789546778,-6.133971925,0.299658912
ENSG00000006327.14,TNFRSF12A,-1.031867029,7.122851733,-1.389766209,0.165795303,0.363965636,-5.278209023,0.71922112,1.254186591,8.162311338,2.277698801,0.026574376,0.911241318,-3.59648915,0.699628738,-0.082258764,5.972169898,-0.194932008,0.845641764,0.903482756,-6.205680619,0.602655736
ENSG00000006451.8,RALA,-0.218518216,6.498644985,-0.850624897,0.395764782,0.577852683,-5.859633632,0.407881691,-0.051700886,5.068195337,-0.143380682,0.886503147,0.981414219,-4.995510581,0.512988389,-0.107536654,4.637206209,-0.502574817,0.615809769,0.739478563,-6.091870037,0.279521223
ENSG00000006453.14,BAIAP2L1,-0.057114706,5.153420413,-0.136934207,0.891189364,0.932771322,-6.157722846,0.403547405,0.219504158,3.459793016,0.355973943,0.723194821,0.954543014,-4.908845109,0.425171189,0.149508409,4.484055837,0.326108571,0.744679233,0.837286875,-6.161398338,0.26645792
ENSG00000006459.11,KDM7A,-0.338972908,3.835942874,-0.646611359,0.518457061,0.679410358,-5.845784396,0.527377729,-0.239382279,2.400025907,-0.48866753,0.626981356,0.934914222,-4.776044194,0.417872727,-0.742572059,2.165673352,-2.515845552,0.012651801,0.053986167,-2.956148269,0.262205469
ENSG00000006468.14,ETV1,-1.066608292,1.368689423,-1.403655289,0.161621387,0.359925665,-4.8052862,0.503963676,0.437209743,1.641323824,0.680718472,0.498848761,0.919542334,-4.695318324,0.390668349,-0.518396691,1.202536092,-1.188227093,0.236136727,0.386499803,-5.000856473,0.400613444
ENSG00000006534.16,ALDH3B1,-0.989085638,2.346123862,-1.59741216,0.111395224,0.301205686,-4.603106382,0.399618567,-0.492512504,5.014055154,-0.707504543,0.482180947,0.912676245,-4.855897798,0.404768055,-0.46740245,2.305235104,-1.116944912,0.265342399,0.417206438,-5.30894611,0.561140589
ENSG00000006555.11,TTC22,-1.09375352,4.389480579,-1.756974411,0.080105773,0.259794284,-4.585788656,0.689116991,0.184723036,3.024660764,0.276470923,0.783202088,0.965544857,-4.892323992,0.483129133,0.032597699,1.71972915,0.091046819,0.927545457,0.956321321,-5.791027218,0.252697408
ENSG00000006611.17,USH1C,0.41425406,-0.464644767,0.695912076,0.487108937,0.654848287,-5.429824392,0.412701804,0.883282714,5.553197693,0.74940135,0.456745345,0.911241318,-4.850378539,0.379411194,0.001584977,1.045615133,0.002041083,0.998373463,0.999136911,-5.644063452,0.415808749
ENSG00000006625.18,GGCT,0.803486494,5.593748006,2.110124889,0.035808395,0.181881867,-4.076232681,0.439436462,0.31751749,4.476788756,1.029148094,0.307825444,0.911241318,-4.698745763,0.39982088,0.696595075,4.596834801,2.95975411,0.00344626,0.024456202,-2.080947492,0.260504195
ENSG00000006704.11,GTF2IRD1,-0.473486998,4.58212714,-1.248914547,0.212825864,0.412550817,-5.360681408,0.640528694,0.145044995,4.22554586,0.346404773,0.730334017,0.954543014,-4.946384644,0.391491793,-0.470770028,2.480923567,-1.336244849,0.182970002,0.324712235,-5.10774434,0.300787561
ENSG00000006712.15,PAF1,-0.019540772,6.445898078,-0.079547845,0.936658409,0.960665673,-6.205437886,0.618042824,0.040142239,5.91516204,0.151759683,0.879920747,0.980461802,-5.006873867,0.814688268,0.4050245,6.017069131,2.148819128,0.032836544,0.100891183,-4.016240071,0.252788935
ENSG00000006715.16,VPS41,-0.598223412,4.386827451,-1.799653206,0.073081163,0.247653306,-4.546011525,0.598688963,-0.161406569,4.706698325,-0.459573555,0.647597788,0.939915907,-4.933052601,0.704242577,-0.489594143,3.578765051,-2.042057769,0.04244318,0.119960708,-4.168368973,0.256252496
ENSG00000006744.19,ELAC2,-0.635028371,5.304090693,-2.264990986,0.024341207,0.15597552,-3.712670451,0.645542634,0.514541937,5.368972804,1.49536963,0.14042063,0.911241318,-4.38613392,0.524709877,-0.07659411,4.376829211,-0.384257436,0.701191164,0.805063338,-6.134582734,0.371627908
ENSG00000006756.16,ARSD,-1.22408523,3.486526,-2.122429805,0.034752347,0.179974406,-3.815723884,0.439100308,0.466923712,5.053964729,1.120910893,0.267099656,0.911241318,-4.652106167,0.635226823,-0.121627252,4.094072484,-0.403814874,0.686775298,0.794630141,-6.113839909,0.562205655
